Wavelength,Excitation,Emission
601,0,78.21196865
602,0,79.04594487
603,0,80.35831633
604,0,80.94244737
605,0,82.11776404
606,0,82.96030872
607,0,84.58692186
608,0,85.30137142
609,0,85.60005069
610,0,86.15506058
611,0,86.67814018
612,0,87.83656067
613,0,89.03494479
614,0,89.35648639
615,0,90.89044807
616,0,91.2097081
617,0,91.96860713
618,0,92.21580377
619,0,92.82012479
620,0,93.16268469
621,0,93.74440619
622,0,94.11623145
623,0,95.25600597
624,0,95.05709961
625,0,96.27594782
626,0,96.96216079
627,0,96.83794177
628,0,97.82595912
629,0,97.88520577
630,0,97.69705577
631,0,99.06140277
632,0,99.18423618
633,0,97.94418582
634,0,98.8943002
635,0,98.63921127
636,0,97.92930578
637,0,99.26833129
638,0,98.65854189
639,0,100
640,0,99.29917082
641,0,98.73463955
642,0,98.61210509
643,0,98.69749725
644,0,98.73284142
645,0,97.91506391
646,0,98.25289879
647,0,97.89808846
648,0,97.67038324
649,0,97.26161302
650,0,97.09420247
651,0,97.23207985
652,0,97.34057028
653,0,97.32301897
654,0,97.06317262
655,0,97.38342422
656,0,97.25893186
657,0,96.76914606
658,0,96.97649613
659,0,96.68174547
660,0,96.28504583
661,0,95.63138149
662,0,94.75160241
663,0,94.4669945
664,0,96.05266336
665,0,94.0956654
666,0,93.87655115
667,0,92.09667195
668,0,92.56309456
669,0,91.59323529
670,0,92.06142964
671,0,89.75445034
672,0,89.22533575
673,0,88.4282497
674,0,88.45713682
675,0,86.49465718
676,0,86.56528521
677,0,84.18767472
678,0,83.80480452
679,0,81.96190833
680,0,81.22356705
681,0,81.02801123
682,0,79.24301976
683,0,78.56131158
684,0,77.63281621
685,0,77.17192554
686,0,76.07214793
687,0,75.09317017
688,0,74.08116218
689,0,73.24205884
690,0,71.19432168
691,0,69.78061253
692,0,69.10262634
693,0,67.65950785
694,0,66.44689818
695,0,65.86899765
696,0,63.99602221
697,0,63.33554998
698,0,61.0636496
699,0,59.69705824
700,0,59.37720463
701,0,57.88990318
702,0,56.48979723
703,0,55.63300019
704,0,54.10350724
705,0,53.91466181
706,0,52.09447924
707,0,51.25677178
708,0,49.94941197
709,0,48.71872765
710,0,47.91346608
711,0,45.18036285
712,0,44.4729315
713,0,44.15565521
714,0,43.74695756
715,0,41.72934623
716,0,41.04312715
717,0,39.6777818
718,0,39.70994376
719,0,38.22707455
720,0,36.97851585
721,0,35.9308315
722,0,35.02332634
723,0,34.13725544
724,0,33.74842347
725,0,33.20718216
726,0,32.47257336
727,0,31.82167888
728,0,31.09315837
729,0,30.62251576
730,0,30.2317881
731,0,29.08809058
732,0,29.56166458
733,0,28.48582851
734,0,27.39389976
735,0,26.88122318
736,0,26.1711733
737,0,25.68817624
738,0,25.81842692
739,0,25.00203138
740,0,24.45263876
741,0,24.25780407
742,0,23.87573668
743,0,23.17106888
744,0,22.59674541
745,0,22.24978197
746,0,21.89667451
747,0,21.43369648
748,0,20.79800534
749,0,20.55778269
750,0,19.94202856
751,0,19.32684988
752,0,19.42678615
753,0,18.62709452
754,0,18.8306963
755,0,18.04434826
756,0,16.90103982
757,0,16.74020135
758,0,16.46160337
759,0,16.55304744
760,0,15.85885115
761,0,15.75544548
762,0,15.28928885
763,0,15.13680719
764,0,14.59968666
765,0,14.14202822
766,0,14.06724183
767,0,13.07602934
768,0,13.56524514
769,0,13.12185018
770,0,12.87347812
771,0,12.572884
772,0,12.18476231
773,0,12.08306857
774,0,12.11417657
775,0,11.46337874
776,0,10.83099985
777,0,10.79837304
778,0,10.87634595
779,0,10.99794833
780,0,10.58228405
781,0,9.845357352
782,0,9.649360837
783,0,9.264944577
784,0,9.481097226
785,0,8.976977521
786,0,8.812652834
787,0,8.587243252
788,0,8.569372564
789,0,8.544448266
790,0,8.284093176
791,0,7.929534056
792,0,7.476586688
793,0,7.981422331
794,0,7.925464389
795,0,7.537348055
796,0,7.592545321
797,0,6.840294592
798,0,6.396551171
799,0,7.220715288
800,0,7.095972378
801,0,0
802,0,0
803,0,0
804,0,0
805,0,0
806,0,0
807,0,0
808,0,0
809,0,0
810,0,0
811,0,0
812,0,0
813,0,0
814,0,0
815,0,0
816,0,0
817,0,0
818,0,0
819,0,0
820,0,0
821,0,0
822,0,0
823,0,0
824,0,0
825,0,0
826,0,0
827,0,0
828,0,0
829,0,0
830,0,0
831,0,0
832,0,0
833,0,0
834,0,0
835,0,0
836,0,0
837,0,0
838,0,0
839,0,0
840,0,0
841,0,0
842,0,0
843,0,0
844,0,0
845,0,0
846,0,0
847,0,0
848,0,0
849,0,0
850,0,0
851,0,0
852,0,0
853,0,0
854,0,0
855,0,0
856,0,0
857,0,0
858,0,0
859,0,0
860,0,0
861,0,0
862,0,0
863,0,0
864,0,0
865,0,0
866,0,0
867,0,0
868,0,0
869,0,0
870,0,0
871,0,0
872,0,0
873,0,0
874,0,0
875,0,0
876,0,0
877,0,0
878,0,0
879,0,0
880,0,0
881,0,0
882,0,0
883,0,0
